,m/z,Name,Formula
219.9894672389,220.99674,,
626.086885189,627.09416,,C30H14N10O5S
488.1073211685,489.1146,Citicoline,C14H26N4O11P2
281.1966461759,282.20392,,C12H23N7O
271.2511819056,272.25846,,C16H33NO2
307.0814617985,308.08874,,C14H17N3OS2
289.1274004049,290.13468,Ophthalmic acid,C11H19N3O6
439.269894132,440.27717,LysoPE_0:0_15:0_,C20H42NO7P
488.2216929566,489.22897,,C16H24N16O3
339.0736494746,340.08093,,C10H17N3O8S
382.2031878213,383.21046,,C18H38O2S3
537.1199274949,538.1272,,C17H33NO12P2S
315.9872400192,316.99452,,C8H8N6O2S3
275.1481454476,276.15542,Epsilon-_gamma-Glutamyl_-lysine,C11H21N3O5
340.2977434861,341.30502,Polyoxyethylene _600_ monoricinoleate,C21H40O3
249.0790565745,250.08633,,C16H11NO2
259.045740368,260.05302,Glucosamine-1P,C6H14NO8P
367.2125092496,368.21979,,C16H34NO6P
780.1050277217,781.1123,,C28H48N2O5S9
307.0738924746,308.08117,,
297.1098091595,298.11709,,
462.1746651442,463.18194,,C21H34O7S2
241.9852538173,242.99253,,C5H10N2O3S3
208.02739415,209.03467,,C12H4N2O2
307.9409664145,308.94824,,C7H4N2O8S2
309.2304096118,310.23769,,C18H31NO3
426.0686399419,427.07592,,C17H6N12O3
351.1100422544,352.11732,S-_2-Hydroxyethyl_glutathione,C12H21N3O7S
307.0820297766,308.08931,,C11H18NO7P
426.3821566859,427.38943,"_S_-2,3-epoxysqualene",C30H50O
286.0818764517,287.08915,,C9H19O8P
359.0861571251,360.09343,,C15H21NO5S2
430.8213414451,431.82862,,C9H5NO5S7
335.0406321303,336.04791,,C11H14NO9P
469.2440728133,470.25135,,C20H40NO9P
254.0901804953,255.09746,L-Agaridoxin,C11H14N2O5
361.1614213791,362.1687,,C11H28N3O8P
298.0818853463,299.08916,,
271.9610173948,272.96829,,C6H4N6OS3
251.9665064211,252.97378,,C9H4N2O3S2
341.6127268886,342.62,,
201.1749731669,202.18225,,
208.1464085422,209.15368,"3-Hydroxy-7,8-dihydro-beta-ionol",C13H20O2
290.1882075289,291.19548,"_9Z,11E,13E,15Z_-4-Oxo-9,11,13,15-octadecatetraenoic acid",C18H26O3
517.2168202965,518.2241,,C24H39NO7S2
443.0076506103,444.01493,,C16H14NO10PS
299.282447629,300.28972,Sphingosine,C18H37NO2
340.1926620781,341.19994,,C16H36OS3
555.1304687085,556.13775,,C18H29N5O11S2
268.2401689019,269.24745,Cyclohexaneundecanoic acid,C17H32O2
425.2542284629,426.2615,PE_14:0_0:0_,C19H40NO7P
364.0222656572,365.02954,,C14H5N8O3P
298.2871899727,299.29447,Isopropyl palmitate,C19H38O2
281.1967881815,282.20406,,
391.1123717584,392.11965,,C16H25NO6S2
624.0811270606,625.0884,,C18H33N4O10PS4
556.2701095812,557.27739,,C33H32N8O
410.0494358428,411.05671,,C18H18O7S2
244.0182672138,245.02554,,
225.95561324,226.96289,,
368.3766615143,369.38394,,C23H48N2O
241.9850481991,242.99232,,
225.9554358857,226.96271,,
442.0756423627,443.08292,,C19H22O8S2
305.068161098,306.07544,,C10H15N3O6S
333.2151434908,334.22242,,C16H31NO6
367.4178037065,368.42508,,C25H53N
663.1110682139,664.11834,,C15H23N17O8P2S
311.96715964,312.97444,,C11H5O9P
283.0916942026,284.09897,Guanosine,C10H13N5O5
203.1268992141,204.13418,Glycyl-Lysine,C8H17N3O3
477.3143781092,478.32165,,C33H39N3
278.0314822666,279.03876,,C7H18O5S3
341.0552494878,342.06253,,C11H15N7S3
301.1889383812,302.19621,,C15H27NO5
282.1079547306,283.11523,,C18H18OS
481.3167838301,482.32406,PE_18:0_0:0_,C23H48NO7P
355.3450176173,356.35229,,C22H45NO2
322.1994889993,323.20677,,
337.0943779384,338.10165,S-_Hydroxymethyl_glutathione,C11H19N3O7S
344.1237518834,345.13103,,C12H25O9P
507.3325081806,508.33978,LysoPE_0:0_20:1_11Z_,C25H50NO7P
414.2294235339,415.2367,,C19H42O3S3
240.208834892,241.21611,9-Pentadecenoic acid,C15H28O2
354.1474149059,355.15469,,C14H22N6O3S
206.9591108939,207.96639,,
325.2253230707,326.2326,10-Nitrolinoleic acid,C18H31NO4
334.0665297102,335.07381,1-_sn-glycero-3-phospho_-1D-myo-inositol,C9H19O11P
236.0207954263,237.02807,,
780.1133147173,781.12059,,C19H41N8O13PS5
281.2718534071,282.27913,Oleamide,C18H35NO
309.1688593243,310.17614,Lysyl-Tyrosine,C15H23N3O4
297.056836433,298.06411,,C7H7N9O5
436.1263862448,437.13366,,C15H24N4O9S
218.203489835,219.21077,"_3E,7E_-4,8,12-Trimethyl-1,3,7,11-tridecatetraene",C16H26
268.1535826359,269.16086,Histidinyl-Isoleucine,C12H20N4O3
270.1079839313,271.11526,,C17H18OS
210.0868442668,211.09412,,
307.0866308194,308.09391,S_8_-succinyldihydrolipoamide,C12H21NO4S2
308.0420294062,309.04931,,C8H20O6S3
372.0117792069,373.01906,,C17H8O10
508.4491277029,509.4564,FAHFA_16:1_9Z_5-O-16:0_,C32H60O4
218.010381733,219.01766,,C5H14O3S3
564.1866470291,565.19392,Castavinol C1,C27H32O13
555.2633716268,556.27065,,C20H37N13O2S2
227.9348652186,228.94214,,
231.640434733,232.64771,,
401.8679407462,402.87522,,C10H2N4O4S5
530.2501155755,531.25739,,C26H30N10O3
257.2718866583,258.27916,,C16H35NO
443.3610065487,444.36828,12-Hydroxy-12-octadecanoylcarnitine,C25H49NO5
701.3747618361,702.38204,,C34H51N7O9
228.9199659849,229.92724,,
522.1396466883,523.14692,,C15H31N4O12PS
307.0807551633,308.08803,,C13H13N3O6
254.223797712,255.23107,,
283.3239341089,284.33121,,C19H41N
335.3188469649,336.32612,Pipericine,C22H41NO
303.1542594174,304.16154,Arginyl-Glutamic acid,C11H21N5O5
411.2385824393,412.24586,Lyso-PC_10:0_0:0_,C18H38NO7P
350.5280150593,351.53529,,
438.9814121275,439.98869,,C12H13N3O9S3
369.995945944,371.00322,,C12H11N4O4PS2
400.1330164557,401.14029,,C16H33O3PS3
782.1090439892,783.11632,,C22H23N16O13PS
213.9991080166,215.00638,,
206.9592544933,207.96653,,
592.3588303539,593.36611,,C26H57O12P
392.0235874212,393.03086,,C14H16O9S2
326.1131891847,327.12047,,C12H23O8P
286.2508146507,287.25809,Avocadene,C17H34O3
264.0157017737,265.02298,,
288.0764174558,289.08369,,C12H17O6P
500.3131242522,501.3204,,C22H48N2O8S
308.0882687024,309.09555,,C9H17N4O6P
312.1613599022,313.16864,,C14H32OS3
323.0964979321,324.10377,,C10H17N3O9
236.0209552918,237.02823,,
408.1314773549,409.13875,,C14H24N4O8S
624.0940406643,625.10132,,C16H32N8O8S5
271.2147682667,272.22204,Tridecanoylglycine,C15H29NO3
355.0685462497,356.07582,,C10H17N3O9S
265.6318939818,266.63917,,
207.3614515972,208.36873,,
431.2144991397,432.22178,,C14H34N5O8P
348.1527718858,349.16005,,C16H29O4PS
271.1644730032,272.17175,Arginyl-Proline,C11H21N5O3
521.0739917033,522.08127,,C21H19N3O11S
616.1832343967,617.19051,,C38H33O4PS
783.1055138551,784.11279,,C23H36N3O21P3
398.1706129689,399.17789,,C16H31O9P
440.0931035423,441.10038,,C16H28N2O4S4
234.1620018487,235.16928,Valerenic acid,C15H22O2
555.2619993766,556.26928,,C34H37NO6
342.1080925255,343.11537,,C12H23O9P
292.1715269729,293.1788,,
228.9201317826,229.92741,,
229.2404957506,230.24777,,C14H31NO
380.0236191607,381.0309,,C13H16O9S2
315.2773514702,316.28463,Dehydrophytosphingosine,C18H37NO3
495.3211172367,496.32839,,C28H41N5O3
204.0785989915,205.08588,Anofinic acid,C12H12O3
447.1587962134,448.16607,,C13H17N15O4
